"","*** Alcohol Soft/DAEMON Tools ***"
"EFS","EFS File System Filter Driver"
"egatebus","SchlumbergerSema e-gate USB Smart Card Drvier"
"egaterdr","SchlumbergerSema e-gate USB Smart Card Drvier"
"EGATHDRV","IBM eGatherer Kernel Module"
"ehdrv","!!! PSP: ESET Nod32 !!!"
"EInt","Zebra Card Printer Driver"
"EIO","ASUS Kernel Mode Driver for NT"
"EIO_XP","ASUS Kernel Mode Driver for NT"
"EKIoMngr","Compal IoManager Application Driver"
"EL2K_2K","3Com Gigabit NIC Miniport Driver"
"EL2K_XP","3Com Gigabit NIC Miniport Driver"
"EL556ND5","3Com 10/100 Mini PCI Ethernet Adapter"
"EL90XBC","3Com EtherLink XL 90XB/C Adapter Driver"
"el90Xbc5","3Com EtherLink PCI Driver"
"el90xbc5","3Com EtherLink PCI Driver"
"el90xnd5","3Com Fast EtherLink Miniport Driver"
"el985n51","3Com Gigabit Card Driver"
"el985nd5","3Com Gigabit Ethernet Driver"
"el98xn5","3Com EtherLink Server 10/1000 PCI NIC Driver"
"ELacpi","Intel Quick Resume Technology Driver"
"elagopro","Gteko Diagnostics Network Module"
"elaseqry","*** UNKNOWN - PLEASE PULL BACK ***"
"elaunidr","Linksys EasyLink Advisor"
"ElbyCDFL","Elaborate Bytes CDIO Filter Driver"
"ElbyCDIO","Elaborate Bytes CDIO and DVD Driver"
"ElbyDelay","Elaborate Bytes Delay Lower Filter Driver"
"ElbyVCD","Elaborate Bytes VirtualCloneCD Driver"
"ELhid","Intel Quick Resume Technology Driver"
"ELkbd","Intel Quick Resume Technology Driver"
"ELmon","Intel Quick Resume Technology Driver"
"ELmou","Intel Quick Resume Technology Driver"
"elnk3","3Com 3C5X9 EtherLink III Adapter Driver"
"elofiltr","Elo USB TouchMonitor Filter Driver"
"EloUsb","Elo USB TouchMonitor Driver"
"elperpt","*** UNKNOWN - PLEASE PULL BACK ***"
"eltnlpt","Zebra iSeries Card Printer Driver"
"elxadjct","Emulex Storport Miniport Driver"
"elxplus","Emulex Plus Driver"
"elxsli2","Emulex PCI Fibre Channel Driver"
"elxstor","Emulex Storport System Driver"
"emBDA","eMPIA USB 28xx BDA Driver"
"emcmpio","EMC Power Path Generic DSM"
"EmcOM","EMC Open Migrator"
"EmcpBase","EMC PowerPath Driver"
"EmcpCg","EMC PowerPath Driver"
"EmcpCG","EMC PowerPath Driver"
"EmcpClass","EMC PowerPath Driver"
"EmcpDm","EMC PowerPath Data Migration Manager"
"EmcpGpx","EMC PowerPath Driver"
"EmcpHR","EMC PowerPath Driver"
"EmcpMD","EMC PowerPath Common Driver"
"EmcpMP","EMC PowerPath Driver"
"EmcpMPAA","EMC PowerPath Driver"
"EmcpMPAP","EMC PowerPath Driver"
"EmcpMPC","EMC PowerPath Driver"
"EmcpMpx","EMC PowerPath Driver"
"EmcpSapi","EMC PowerPath Driver"
"EmcpSAPI","EMC PowerPath Driver"
"EmcpXcr","EMC PowerPath Common Driver"
"emOEM","eMPIA USB 28xx BDA Driver"
"EMS7SK","ENE PCI Memory Stick Card Reader Driver"
"EMSC","Windows Embedded System Control Driver"
"emu10k1m","Creative SB Live! Adapter Driver"
"emupia2k","Creative E-mu Plug-In Architecture Driver"
"enctea","*** DANGEROUS MALWARE - SEEK HELP ASAP ***"
"enecir","ENE Consumer IR Driver for eHome"
"enecirhid","ENE Consumer IR HID Driver for eHome"
"enecirhidma","ENE Consumer IR HID Mapper Driver for eHome"
"enetfilt","!!! PSP: FortGuard DDoS Firewall !!!"
"eng64","!!! PSP: Symantec AntiVirus !!!"
"Engine","!!! VB Decompiler Lite !!!"
"ennluk","*** UNKNOWN - PLEASE PULL BACK ***"
"enstart_","Guidance Software EnCase Driver"
"EntDrv50","!!! PSP: McAfee VirusScan Enterprise !!!"
"EntDrv51","!!! PSP: McAfee VirusScan Enterprise !!!"
"EntDrv52","!!! PSP: McAfee VirusScan Enterprise !!!"
"Envy24HF","IC Ensemble Envy24 Family Audio Controller WDM"
"EP320XS","SURECOM EP-320X-S 100/10M Ethernet PCI Adapter"
"epcpuid","EPoX Computer Hardware Monitor Driver"
"epfw","!!! PSP: ESET Nod32 Anti-Virus !!!"
"EPFWNDHK","!!! PSP: ESET Smart Security !!!"
"Epfwndis","!!! PSP: ESET Nod32 Anti-Virus !!!"
"epfwtdi","!!! PSP: ESET Nod32 Anti-Virus !!!"
"epfwtdir","!!! PSP: ESET Nod32 Anti-Virus !!!"
"epfwwfp","!!! PSP: ESET Nod32 Anti-Virus !!!"
"epfwwfpr","!!! PSP: ESET Nod32 Smart Security !!!"
"EPIoMngr","Compal IoManager Application Driver"
"EPLPDX02","LPT I/O Driver for Epson Printer"
"eqldsm","Dell EqualLogic MPIO DSM Driver"
"EraserUtilDrv10621","!!! PSP: Symantec AntiVirus !!!"
"EraserUtilDrv10622","!!! PSP: Symantec AntiVirus !!!"
"EraserUtilDrv10741","!!! PSP: Symantec AntiVirus !!!"
"EraserUtilDrv10910","!!! PSP: Symantec AntiVirus !!!"
"EraserUtilDrv10920","!!! PSP: Symantec AntiVirus !!!"
"EraserUtilDrv11010","!!! PSP: Symantec AntiVirus !!!"
"EraserUtilDrv11110","!!! PSP: Symantec AntiVirus !!!"
"EraserUtilDrvI10","!!! PSP: Symantec AntiVirus !!!"
"EraserUtilDrvI11","!!! PSP: Symantec AntiVirus !!!"
"EraserUtilDrvI2","!!! PSP: Symantec AntiVirus !!!"
"EraserUtilDrvI3","!!! PSP: Symantec AntiVirus !!!"
"EraserUtilDrvI4","!!! PSP: Symantec AntiVirus !!!"
"EraserUtilDrvI7","!!! PSP: Symantec AntiVirus !!!"
"EraserUtilDrvI9","!!! PSP: Symantec AntiVirus !!!"
"EraserUtilRebootDrv","!!! PSP: Symantec AntiVirus !!!"
"errdev","Microsoft Hardware Error Device Driver"
"es1371","Creative AudioPCI (ES1373) (WDM)"
"es1371mp","Creative AudioPCI Miniport (WDM)"
"es198x","ES1988/ES1998/ES199A Adapter Driver"
"es56hpi","ESS Scheda Modem Telephony Driver"
"es56tpi","ESS Telephony Driver"
"ESD7SK","ENE PCI Secure Digital/MMC Card Reader Driver"
"ESDPDX01","Epson SD Printer SPT I/O Driver"
"esecdrv","!!! PSP: GFI EndPoint Security !!!"
"esecdrv42","!!! PSP: GFI EndPoint Security !!!"
"ESM7SK","ENE PCI SmartMedia/XD Card Reader Driver"
"esmabc","NEC ESMPro Server Agent"
"esnpkg","*** UNKNOWN - PLEASE PULL BACK ***"
"ET5Drv","Gigabyte EasyTune 5 Driver"
"ETD","ETD Ware Smart-Pad TSR Enhancements"
"ETDrv","Microsoft Generic Port I/O Driver"
"ethio","*** SIG18 - FOLLOW GUIDANCE ***"
"ethip6","*** DOORMANGAUZE ***"
"etmdrv","Check Point Flood Gate 1 Driver"
"eTSCFLT","Aladdin eToken Smart Card Filter Driver"
"eubakup","EASEUS Todo Backup Disk Backup Driver"
"EuDisk","EASEUS Todo Backup EuDisk Bus Enumerator Driver"
"eufs","EASEUS Todo Backup File System Filter Driver"
"eugssxp","EUTRON SmartKey GSS2 Driver"
"eusbstub","*** UNKNOWN - PLEASE PULL BACK ***"
"eusk2par","EUTRON SmartKey Parallel Driver"
"eusk3usb","EUTRON SmartKey USB Driver"
"evbdx","Broadcom NetXtreme II GigE VBD Driver"
"evsbc","Eltima Virtual Serial Bus Driver"
"evserial","Eltima Virtual Serial Port Driver"
"ew_jubusenum","Lenovo V370 Wide Wireless Lan Driver"
"EWF","Windows XP Embedded Enhanced Write Filter Driver"
"ewusbdev","Huawei USB Modem/Serial Device Driver"
"ewusbmdm","Huawei USB Modem/Serial Device Driver"
"ewusbnet","Huawei USB NDIS Miniport Driver"
"ex64","!!! PSP: Symantec AntiVirus !!!"
"exFat","*** DARKSKYLINE MENTAL ***"
"exifs","Exchange Database Messaging Driver"
"exphraid","*** UNKNOWN - PLEASE PULL BACK ***"
"explog","NEC ESMPro Server Agent"
"ExpScan","!!! PSP: Rising Anti-Virus and Firewall !!!"
"ext2fs","Ext2 IFS for Windows XP/2003 (x86)"
"ext2fs32","*** SENTRYTRIBE MENTAL ***"
"Ext2Fsd","Ext2 File System Driver"
"ExtMirr","Life Keeper Data Replication Driver"
"ezplay","VSO CD Backup Autoplay Helper Driver"
"ezusb","Cypress General Purpose USB Driver"
"f_kp","Fasoo.com Fasoo DRM Driver"
"f_kp_st","Fasoo DRM Keyboard Filter Driver"
"FA312nd5","NETGEAR Fast Ethernet Miniport Driver"
"FADXP32","Broadcom Frame Access Driver"
"FAL","FileMaker Server Driver"
"falcaud","FALCON/EAGLE Windows Audio Driver"
"Falcon","FALCON/EAGLE Windows IDS Driver"
"fallback","Conexant SoftK Fallback Driver"
"fanio","Dell Fan Control FanIO Driver"
"fast16","*** NOTHING TO SEE HERE - CARRY ON ***"
"Fastfat","Fast FAT  File System Driver"
"fastfat32","*** SENTRYTRIBE MENTAL ***"
"FASTPCM","100BASE-FX Fast Ethernet PCMCIA Adapter Driver"
"FastSx","Promise FastTRAK SX4/SX4000 Driver"
"fasttrak","Promise FastTrak Series Driver"
"Fasttrak","Promise FastTrak Series Driver"
"fasttx2k","Promise FastTrak Series Driver"
"fasttx2k2","Promise FastTrak Series Driver"
"FAT32","*** SENTRYTRIBE MENTAL ***"
"FaxLffv2","OEM LFFV2 USB Fax Driver"
"faxnt","Conexant SoftK FaxNT Driver"
"Fbwf","Microsoft File-based Write Filter Driver"
"fcdrv1","!!! PSP: McAfee DLP Agent !!!"
"fcdrv2","!!! PSP: McAfee DLP Agent !!!"
"fcdrv3","!!! PSP: McAfee DLP Agent !!!"
"fcdrv4","!!! PSP: McAfee DLP Agent !!!"
"fd16_700","Adaptec FD SCSI Controller Driver"
"Fdc","Floppy Disk Controller Driver"
"FDCDNT","Silence of Troubles Hide Files and Folders Filter Driver"
"FDCENT","Silence of Troubles Hide Files and Folders Driver"
"Fdisk","*** OLYMPUS ***"
"fdisk","*** SIG4 - FOLLOW GUIDANCE ***"
"FdRedir","UPEK Protector Suite File Disk Redirector Driver"
"FENET559","Intel Fast Ethernet 559 LAN Driver"
"fetnd5","VIA PCI 10/100Mb Fast Ethernet Adapter"
"fetnd5b","VIA 10/100 Mbps Fast Ethernet Miniport Driver"
"fetnd5bv","NDIS 5.0 Miniport Driver"
"fglrx","ATI FGL Rseries Display Driver"
"fglrx3d2","ATI Radeon DirectX Universal Driver"
"fglrxm","ATI FGL Miniport Driver"
"FGUARD32","WinAbility Folder Guard Kernel Driver"
"FileDisk","File Disk Virtual Disk Driver"
"fileinfo","Windows FileInfo Filter Driver"
"FileM","!!! PSP: Softgears Visual Log !!!"
"FILEM701","!!! Sysinternals File System Monitor !!!"
"filemon","!!! Sysinternals File System Monitor !!!"
"filemrx","*** UNKNOWN - PLEASE PULL BACK ***"
"FileScreenFilter","Symantec VERITAS StorageExec"
"FileVol","Symantec Backup Exec File Mounting Driver"
"FILTNT","!!! PSP: Agnitum Outpost Firewall !!!"
"Fips","FIPS Crypto Driver"
"firehk","!!! PSP: McAfee HIPS Firewall !!!"
"Firehk5x","!!! PSP: McAfee Desktop Firewall !!!"
"firehook","!!! PSP: McAfee Desktop Firewall !!!"
"firelm01","!!! PSP: McAfee Host Intrusion Prevention !!!"
"FirePM","!!! PSP: McAfee Desktop Firewall !!!"
"fireport","Diamond Multimedia SCSI Miniport Driver"
"FireTDI","!!! PSP: McAfee Entercept Firewall !!!"
"FireTdi0","!!! PSP: McAfee Entercept Firewall !!!"
"flashpnt","BusLogic FlashPoint SCSI Adapter Driver"
"flashud","Intel Flash Update Device Driver"
"fld21","*** STORMTHUNDER ***"
"fle5wnnt","Data Encryption Systems NMP FLS-1 USB Driver"
"Floppy","Windows Floppy Disk Driver"
"Flpydisk","Floppy Disk Driver"
"flsiface","Data Encryption Systems Interface Driver"
"flspar","Data Encryption Systems FLS Parallel Port Driver"
"flsser","Data Encryption Systems FLS Serial Port Driver"
"flsvcom","Data Encryption Systems Virtual Serial Port Driver"
"FltMgr","Microsoft Filesystem Filter Manager"
"fm801","ForteMedia PCI Audio Device Driver"
"fmem","*** SIG18 - FOLLOW GUIDANCE ***"
"fmjoy","ForteMedia Game Port Enumerator"
"FNETDEVI","FNet PCClone EX Device Driver"
"fnetmon","!!! PSP: Panda Security !!!"
"FNETURPX","FNet User Proxy Driver"
"fnoiok","*** UNKNOWN - PLEASE PULL BACK ***"
"Fprotect","!!! Sysinternals Fprotect !!!"
"framebuf","Microsoft Framebuffer Display Driver"
"frcp860","Ericsson APG40/CP40 Switch Driver"
"FreeOTFE","FreeOTFE On-the-Fly Disk Encryption Driver"
"FreeOTFECypherAES_ltc","FreeOTFE On-the-Fly Disk Encryption Driver"
"FreeOTFECypherBlowfish","FreeOTFE On-the-Fly Disk Encryption Driver"
"FreeOTFECypherCAST5","FreeOTFE On-the-Fly Disk Encryption Driver"
"FreeOTFECypherCAST6_Gladman","FreeOTFE On-the-Fly Disk Encryption Driver"
"FreeOTFECypherDES","FreeOTFE On-the-Fly Disk Encryption Driver"
"FreeOTFECypherMARS_Gladman","FreeOTFE On-the-Fly Disk Encryption Driver"
"FreeOTFECypherRC6_ltc","FreeOTFE On-the-Fly Disk Encryption Driver"
"FreeOTFECypherSerpent_Gladman","FreeOTFE On-the-Fly Disk Encryption Driver"
"FreeOTFECypherTwofish_ltc","FreeOTFE On-the-Fly Disk Encryption Driver"
"FreeOTFEHashMD","FreeOTFE On-the-Fly Disk Encryption Driver"
"FreeOTFEHashRIPEMD","FreeOTFE On-the-Fly Disk Encryption Driver"
"FreeOTFEHashSHA","FreeOTFE On-the-Fly Disk Encryption Driver"
"FreeOTFEHashTiger","FreeOTFE On-the-Fly Disk Encryption Driver"
"FreeOTFEHashWhirlpool","FreeOTFE On-the-Fly Disk Encryption Driver"
"frhimflt","Force Computers HIM PCI Bus Filter Driver"
"frScsiF","Force Computers Filter Driver for LBB SCSI Cluster"
"FrzSys","*** Power Shadow / Shadow System ***"
"fs_rec","File System Recognizer Driver"
"fsbts","!!! PSP: F-Secure Internet Security !!!"
"FscGabi","Fujitsu SIEMENS Windows Driver"
"fschk","*** UNKNOWN - PLEASE PULL BACK ***"
"FSCSLII","Fujitsu SIEMENS Windows Driver"
"fsdfw","!!! PSP: F-Secure Internet Security !!!"
"FSDriver","!!! Quest ChangeAuditor (AD Auditing) !!!"
"fsfilter","!!! PSP: Beijing Jiahua Cheng GKR !!!'"
"fsgk","!!! PSP: F-Secure Internet Security !!!"
"fsh","Jetico BestCrypt Encryption System"
"fshs","!!! PSP: F-Secure Internet Security !!!"
"fsksnt","Conexant SoftK FSKsNT Driver"
"fslx","Altiris FSL System Driver"
"FSManager","!!! PSP: Infosec Secret Net Software !!!"
"fsndis5","!!! PSP: F-Secure Internet Security !!!"
"FSPFltd","FSPro Labs Hide Folders Driver"
"FSPRTX","*** YAK 2 ***"
"fssfltr","Microsoft Family Safety Filter Driver"
"fssfltr_tdi","Microsoft Family Safety Filter Driver (TDI)"
"FStarForce","SNEG FStarForce Anti-DRM Hack Tool"
"FStopW","!!! PSP: F-PROT Antivirus !!!"
"FsUsbExDisk","Samsung USB Driver"
"fsvga","Full Screen Video Driver"
"FsWriteBack","!!! PSP: 360Safe Security Center !!!"
"ft8300","Promise FastTRAK SX4300/8300 Driver"
"FTD2XX","FTDI FTD2XX USB Driver"
"ftdibus","FTDIBUS USB Driver"
"Ftdisk","Volume Manager Driver"
"FTEVTNTF","*** UNKNOWN - PLEASE PULL BACK ***"
"FTPFILT","!!! PSP: Agnitum Outpost Firewall !!!"
"ftprnt45","FaxTalk Communicator Driver"
"ftsata2","Promise FastTrak Series Driver"
"ftser2k","FTDIBUS Serial Device Driver"
"FTT3","Promise FastTrak TX4650/2650 Driver"
"fttxr5_O","Promise FastTRAK TX4200/TX4300 Driver"
"fttxr52P","Promise FastTRAK TX4200/TX4300 Driver"
"fttxr54P","Promise FastTRAK TX4200/TX4300 Driver"
"ftusbbus","Fabula Tech Virtual USB Bus Driver"
"ftusbload","Fabula Tech Virtual USB Load Driver"
"FUJ02B1","FUJITSU Plug and Play WDM Device Driver"
"FUJ02E3","FUJITSU Plug and Play WDM Device Driver"
"fusbhub","Eltima USB-to-Ethernet Connector Driver"
"FVDISK","DianJi LavaNet Download Network Accelerator (DNA)"
"fvevol","Microsoft BitLocker Drive Encryption Driver"
"fw","Check Point Secure Remote VPN Service Driver"
"fw220","!!! PSP: McAfee Virus Scan !!!"
"fwdrv","!!! PSP: Kerio Personal Firewall !!!"
"fweng","Microsoft Firewall Packet Engine"
"FWFILT","!!! PSP: Norton Internet Security !!!"
"FwLnk","TOSHIBA Firmware Linkage 32-bit Driver"
"fwpkclnt","!!! PSP: Windows Firewall !!!"
"G200ed","Matrox G200e Graphics Driver"
"G200em","Matrox G200e Miniport Driver"
"G200eVd","Matrox G200eV Video Card Driver"
"G200eVm","Matrox G200eV Video Card Driver"
"G200eWd","Matrox Graphics Card Driver"
"G200eWm","Matrox Graphics Card Driver"
"g200ewm","SuperMicro Matrox G200eW Graphics Driver"
"G400DHD","Matrox G400DH Display Driver"
"g400dhm","Matrox G400DH Miniport Driver"
"G550DHD","Matrox G550DH Display Driver"
"g550dhm","Matrox G550DH Miniport Driver"
"gagp30kx","Microsoft Generic AGP v3.0 Filter Driver"
"gameenum","Game Port Enumerator"
"GBDevice","Symantec Norton GoBack File Recovery"
"GBFSHook","Symantec Norton GoBack File Recovery"
"gbpkm","Gb Plugin Device Driver"
"gdi32","Windows Graphics Device Interface"
"gdihook5","PCI MiniPort Driver"
"gdisdsk","*** KILLSUIT LAUNCHER DRIVER - REMOVE ME ***"
"gdmwbprt","KT WiBro USB Stick Driver"
"gdrv","GIGABYTE Tools Graphic Utilities Driver"
"gdtemu","*** UNKNOWN - PLEASE PULL BACK ***"
"GEARAspiWDM","Gear CD and DVD Software"
"gellpn","*** UNKNOWN - PLEASE PULL BACK ***"
"genelan","Genesys GeneLink Network Driver"
"generic","Generic-series USB NIC Driver"
"GenericMount","Symantec Norton Ghost Generic Mount Driver"
"GeodeLX","AMD Geode LX Display Driver"
"Gernuwa","Symantec pcAnywhere"
"GetBINFile","EPoX Computer Hardware Monitor Driver"
"getnd5b","VIA Networking Rhine-GE Ethernet Adapter"
"getnd5bv","VIA Networking Velocity Family Gigabit Ethernet Adapter"
"gflash","*** SIG25 - FOLLOW GUIDANCE ***"
"gflmouhid","KYE WDM NULL Filter Driver"
"ggse","GraphOn GO-Global Server Driver"
"GHA","ASUS System Foundation Driver"
"ghaio","ASUS NB Probe Driver"
"GHAIPMI","ASUS System Foundation Driver"
"ghmon","Symantec Ghost Enterprise Client"
"ghpciscan","Symantec Ghost PCI Scanner Kernel Mode Driver"
"ghpcw2k","Symantec Ghost Enterprise Client"
"GiA_Guardant","GiA Guardant Emulator Driver"
"giveio","GIVEIO Direct I/O Access Driver"
"gkalgsrv","*** UNKNOWN - PLEASE PULL BACK ***"
"GKUPRO2D","Gemplus CCID USB Smart Card Reader Driver"
"glausb","GlobeSpan USB ADSL Driver"
"GLEXPORT","Genesys GeneLink Helper Driver"
"glkusb","GeneLink USB Driver"
"Gloaddrv","Intel Dialogic Genload SRAM Access Driver"
"GoBack2K","Symantec Norton GoBack File Recovery"
"gopcsvr","*** UNKNOWN - PLEASE PULL BACK ***"
"Gpc","Generic Packet Classifier"
"Gpdrv","*** UNKNOWN - PLEASE PULL BACK ***"
"gpibclsb","GPIB Board Class Driver"
"gpibclsd","GPIB Device Class Driver"
"gpibpci","GPIB PCI Driver"
"gqicwwvh","*** UNKNOWN - PLEASE PULL BACK ***"
"GrandUsb","SafeNet GrandDog USB Driver"
"grdkey","Guardant Stealth/Net LPT Dongle Device Driver"
"grdusb","Guardant USB Dongle Service"
"GS","*** UNKNOWN - PLEASE PULL BACK ***"
"GSMHWDM","Rainbow China Software Protection Driver"
"gt680x","Grand Tech USB Scanner Driver"
"gtipci21","Texas Instruments PCI GemCore IFD Handler"
"GTNDIS5","PCAUSA NDIS 5.0 Protocol Driver"
"gtrrki","*** UNKNOWN - PLEASE PULL BACK ***"
"guard","!!! PSP: AVG Anti-Spyware !!!"
"GVCplDrv","Gigabyte Graphic Driver Software Driver"
"gwiopm","Graham Wideman I/O Port Driver"
"GX","Advanced Micro GX Graphics Adapter"
"GX3AES","Geode GX3 AES Crypto Driver"
"gx3wdmau","Geode LX Scatter-Gather Audio Driver"
"gxm","Advanced Micro GX Graphics Adapter"
"GxV16","*** UNKNOWN - PLEASE PULL BACK ***"
"ha10kx2k","Creative Hardware Abstract Layer Driver"
"hal","hardware abstraction layer"
"HALAACPI","Microsoft Hardware Abstraction Layer DLL"
"HALACPI","Microsoft Hardware Abstraction Layer DLL"
"halfinch","Symantec VERITAS Tape Driver"
"halmacpi","Microsoft Hardware Abstraction Layer DLL"
"hamachi","Hamachi Virtual Network Interface Driver"
"hap16v2k","Creative P16V HAL Driver"
"hardlock","Hardlock Device Driver"
"HARDLOCKFILTER","Wilcom 2006 Crack Emulator"
"haspflt","HardLock Dongle Emulator Driver"
"Haspnt","HASP Kernel Device Driver"
"havfsd","!!! PSP: Hafez Antivirus !!!"
"hbffxp","*** UNKNOWN - PLEASE PULL BACK ***"
"HBKernel32","*** KNOWN MALWARE - FOLLOW GUIDANCE ***"
"hbmnt5","BrightStor ARCserve Backup Driver"
"HCF_MSFT","Conexant Fax Modem Driver"
"hclnfs","Hummingbird NFS Maestro Client Driver"
"hcmon","VMware USB Monitor Driver"
"hcw848nt","Happauge Windows/TV Video Driver"
"hcwPP2","Hauppauge WinTV PVR PCI II WDM Video Capture"
"HDAudBus","High Definition Audio Bus Driver"
"HdAudio","High Definition Audio Function Driver"
"HDCS","S/W Security Specialists Hidden Data Cryption System"
"HdFw","!!! PSP: Jiangmin Firewall !!!"
"HDIL","!!! PSP: Jiangmin Antivirus !!!"
"hdlmdsm","Hitachi HDLM Multi-Path Device Driver"
"hdlpctrl","!!! PSP: McAfee Host Data Loss Prevention !!!"
"hdlpdbk","!!! PSP: McAfee Host Data Loss Prevention !!!"
"hdlpevnt","!!! PSP: McAfee Host Data Loss Prevention !!!"
"hdlpflt","!!! PSP: McAfee Host Data Loss Prevention !!!"
"HDMCNT","HardSoft HDMC Driver"
"HDPT","!!! PSP: Jiangmin Antivirus !!!"
"HECI","Intel Management Engine Interface"
"HECI2k","Intel Management Engine Interface Driver"
"HFCore","Eltima Hide My Folders Software"
"hfdrv","Softbe Advanced Hide Folders Driver"
"HFSYS","FSPro Labs Hide Folders Driver"
"HFXP2","FSPro Labs Hide Folders Driver"
"hgfs","VMware HGFS File System Driver"
"HH10Help","H+H Virtual CD Helper Driver"
"HH9Help","H+H Virtual CD Management Driver"
"HHVRdr","HuaHong Virtual SmartCard Reader Driver"
"hiber_WMILIB","Microsoft WMI Driver"
"HidBatt","Microsoft Hid Battery Driver"
"HIDCLASS","Microsoft USB Driver"
"hidir","Microsoft Infrared Miniport Driver for Input Devices"
"HidKeyboard","QianCai Handwriter Hid Device Driver"
"HIDPARSE","HID Parsing Library"
"hidshim","SHIM Filter for KMDF HIDMINI Driver"
"hidusb","Microsoft USB Driver"
"hihtqnlt","*** UNKNOWN - PLEASE PULL BACK ***"
"HiiLib32","WSM CPM HII Adapter Driver"
"hildigc","*** UNKNOWN - PLEASE PULL BACK ***"
"hilmphp","HP StorageWorks MPIO DSM Driver"
"himokl","*** UNKNOWN - PLEASE PULL BACK ***"
